market,theme,code,name,currency
A-Share (China),gold_commodities,517400,黄金股票,CNY
A-Share (China),gold_commodities,518880,黄金ETF,CNY
A-Share (China),materials,516150,稀土基金,CNY
A-Share (China),materials,515220,煤炭ETF,CNY
A-Share (China),materials,515210,钢铁ETF,CNY
A-Share (China),materials,512400,有色ETF,CNY
A-Share (China),materials,516570,石化ETF,CNY
A-Share (China),broad_market,510500,500ETF,CNY
A-Share (China),broad_market,510050,50ETF,CNY
A-Share (China),broad_market,510900,恒生中国,CNY
A-Share (China),broad_market,560610,A500指数,CNY
A-Share (China),broad_market,563300,中证2000,CNY
A-Share (China),broad_market,512100,1000ETF,CNY
A-Share (China),broad_market,513500,标普500,CNY
A-Share (China),broad_market,510180,180ETF,CNY
A-Share (China),broad_market,513600,恒指ETF,CNY
A-Share (China),broad_market,510300,300ETF,CNY
A-Share (China),broad_market,510880,红利ETF,CNY
A-Share (China),broad_market,512720,计算机,CNY
A-Share (China),real_estate,508036,甬交REIT,CNY
A-Share (China),real_estate,508028,国家电投,CNY
A-Share (China),real_estate,512200,地产ETF,CNY
A-Share (China),real_estate,508009,安徽交控,CNY
A-Share (China),real_estate,508056,普洛斯,CNY
A-Share (China),real_estate,508096,京能国际,CNY
A-Share (China),real_estate,508018,中交REIT,CNY
A-Share (China),real_estate,508086,河北高速,CNY
A-Share (China),real_estate,508008,铁建REIT,CNY
A-Share (China),real_estate,508031,城投宽庭,CNY
A-Share (China),real_estate,508005,首创奥莱,CNY
A-Share (China),real_estate,508002,百联消费,CNY
A-Share (China),real_estate,508069,南京交通,CNY
A-Share (China),real_estate,508068,京保REIT,CNY
A-Share (China),real_estate,508001,浙江杭徽,CNY
A-Share (China),real_estate,508007,山东高速,CNY
A-Share (China),real_estate,508077,华润有巢,CNY
A-Share (China),real_estate,508021,临港REIT,CNY
A-Share (China),real_estate,508027,东吴苏园,CNY
A-Share (China),real_estate,508088,东久REIT,CNY
A-Share (China),real_estate,508000,张江REIT,CNY
A-Share (China),real_estate,508066,苏交REIT,CNY
A-Share (China),real_estate,508058,厦门安居,CNY
A-Share (China),real_estate,508003,中金联东,CNY
A-Share (China),real_estate,508033,深高REIT,CNY
A-Share (China),real_estate,508022,津开产园,CNY
A-Share (China),real_estate,508006,首创水务,CNY
A-Share (China),real_estate,508098,京东仓储,CNY
A-Share (China),real_estate,508099,中关村,CNY
A-Share (China),real_estate,508011,物美消费,CNY
A-Share (China),real_estate,508026,电建清源,CNY
A-Share (China),real_estate,508017,金茂商业,CNY
A-Share (China),real_estate,508089,特变REIT,CNY
A-Share (China),real_estate,508048,外高REIT,CNY
A-Share (China),real_estate,508015,明阳REIT,CNY
A-Share (China),real_estate,508010,重庆两江,CNY
A-Share (China),real_estate,508097,建邺REIT,CNY
A-Share (China),real_estate,508019,湖北科投,CNY
A-Share (China),biotech_healthcare,515120,创新药,CNY
